电影详情链接,图片链接,影片中文名,影片外国名,评分,评价数,概况,相关信息,视频链接,剧情简介,获奖情况,同类电影推荐
https://movie.douban.com/subject/1292052/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,肖申克的救赎,  The Shawshank Redemption,9.7,2348614,希望让人自由,导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins  ... 1994   美国   犯罪 剧情,"'爱奇艺视频': 'https://www.douban.com/link2/?url=http%3A%2F%2Fwww.iqiyi.com%2Fv_19rra0h3wg.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video', '优酷视频': 'https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMjgwNDkwNzE2.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&subtype=3&type=online-video', '腾讯视频': 'https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2F1o29ui77e85grdr.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video', '哔哩哔哩': 'https://www.douban.com/link2/?url=https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss28274%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=9a435b6a91'",　　一场谋杀案使银行家安迪（蒂姆•罗宾斯TimRobbins饰）蒙冤入狱，谋杀妻子及其情人的指控将囚禁他终生。在肖申克监狱的首次现身就让监狱“大哥”瑞德（摩根•弗里曼MorganFreeman饰）对他另眼相看。瑞德帮助他搞到一把石锤和一幅女明星海报，两人渐成患难之交。很快，安迪在监狱里大显其才，担当监狱图书管理员，并利用自己的金融知识帮助监狱官避税，引起了典狱长的注意，被招致麾下帮助典狱长洗黑钱。偶然一次，他得知一名新入狱的小偷能够作证帮他洗脱谋杀罪。燃起一丝希望的安迪找到了典狱长，希望他能帮自己翻案。阴险伪善的狱长假装答应安迪，背后却派人杀死小偷，让他唯一能合法出狱的希望泯灭。沮丧的安迪并没有绝望，在一个电闪雷鸣的风雨夜，一场暗藏几十年的越狱计划让他自我救赎，重获自由！老朋友瑞德在他的鼓舞和帮助下，也勇敢地奔向自由。,"第67届奥斯卡金像奖/最佳影片(提名)/妮基·马文
第52届金球奖/电影类 剧情片最佳男主角(提名)/摩根·弗里曼
第19届日本电影学院奖/最佳外语片
",阿甘正传；当幸福来敲门；楚门的世界；活着；摔跤吧！爸爸；三傻大闹宝莱坞；心灵捕手；贫民窟的百万富翁；我不是药神；飞越疯人院
https://movie.douban.com/subject/1291546/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,霸王别姬, ,9.6,1747542,风华绝代,导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung   张丰毅 Fengyi Zha... 1993   中国大陆 中国香港   剧情 爱情 同性,"'优酷视频': 'https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMzA1NTAzNjAwMA%3D%3D.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&subtype=3&type=online-video', '腾讯视频': 'https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fj3czmhisqin799r.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video', '爱奇艺视频': 'https://www.douban.com/link2/?url=http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrho3150.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video', '1905电影网': 'https://www.douban.com/link2/?url=https%3A%2F%2Fwww.1905.com%2Fvod%2Fplay%2F682663.shtml%3F__hz%3D6e0721b2c6977135%26api_source%3Ddouban_vodadd&subtype=13&type=online-video&link2key=c9ddf1dfee', '西瓜视频': 'https://www.douban.com/link2/?url=https%3A%2F%2Fwww.ixigua.com%2Fcinema%2Falbum%2F7Zxonsdr6nx%3Futm_source%3Ddouban&subtype=17&type=online-video&link2key=c9ddf1dfee', '哔哩哔哩': 'https://www.douban.com/link2/?url=https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fep317650&subtype=8&type=online-video&link2key=c9ddf1dfee'",　　段小楼（张丰毅）与程蝶衣（张国荣）是一对打小一起长大的师兄弟，两人一个演生，一个饰旦，一向配合天衣无缝，尤其一出《霸王别姬》，更是誉满京城，为此，两人约定合演一辈子《霸王别姬》。但两人对戏剧与人生关系的理解有本质不同，段小楼深知戏非人生，程蝶衣则是人戏不分。,"第66届奥斯卡金像奖/最佳外语片(提名)/陈凯歌
第46届戛纳电影节/主竞赛单元 金棕榈奖/陈凯歌
第51届金球奖/电影类 最佳外语片
",活着；春光乍泄；罗马假日；重庆森林；楚门的世界；花样年华；泰坦尼克号；我不是药神；断背山；阿飞正传
https://movie.douban.com/subject/1292720/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg,阿甘正传,  Forrest Gump,9.5,1768900,一部美国近现代史,导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks   ... 1994   美国   剧情 爱情,"'爱奇艺视频': 'https://www.douban.com/link2/?url=http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrk3u264.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video', '优酷视频': 'https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMTMzMDI2NjUzNg%3D%3D.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&subtype=3&type=online-video', '腾讯视频': 'https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fr6hc2kqgvnmiejn.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video', '西瓜视频': 'https://www.douban.com/link2/?url=https%3A%2F%2Fwww.ixigua.com%2Fcinema%2Falbum%2F80mXfTyDMFo%3Futm_source%3Ddouban&subtype=17&type=online-video&link2key=8bfeb88c32', '哔哩哔哩': 'https://www.douban.com/link2/?url=https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss25568%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=8bfeb88c32'",　　阿甘（汤姆·汉克斯饰）于二战结束后不久出生在美国南方阿拉巴马州一个闭塞的小镇，他先天弱智，智商只有75，然而他的妈妈是一个性格坚强的女性，她常常鼓励阿甘“傻人有傻福”，要他自强不息。,"第67届奥斯卡金像奖/最佳影片/史蒂夫·斯达克
第52届金球奖/电影类 最佳剧情片
第48届英国电影学院奖/电影奖 最佳影片(提名)/罗伯特·泽米吉斯
",肖申克的救赎；当幸福来敲门；心灵捕手；三傻大闹宝莱坞；摔跤吧！爸爸；放牛班的春天；死亡诗社；这个杀手不太冷；贫民窟的百万富翁；忠犬八公的故事
https://movie.douban.com/subject/1295644/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,这个杀手不太冷,  Léon,9.4,1943757,怪蜀黍和小萝莉不得不说的故事,导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno   娜塔莉·波特曼 ... 1994   法国 美国   剧情 动作 犯罪,,　　里昂（让·雷诺饰）是名孤独的职业杀手，受人雇佣。一天，邻居家小姑娘马蒂尔达（纳塔丽·波特曼饰)敲开他的房门，要求在他那里暂避杀身之祸。原来邻居家的主人是警方缉毒组的眼线，只因贪污了一小包毒品而遭恶警（加里·奥德曼饰）杀害全家的惩罚。马蒂尔达得到里昂的留救，幸免于难，并留在里昂那里。里昂教小女孩使枪，她教里昂法文，两人关系日趋亲密，相处融洽。,"第19届日本电影学院奖/最佳外语片(提名)
",忠犬八公的故事；泰坦尼克号；触不可及；怦然心动；阿甘正传；天堂电影院；千与千寻；美丽人生；放牛班的春天；肖申克的救赎
https://movie.douban.com/subject/1292722/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,泰坦尼克号,  Titanic,9.4,1730321,失去的才是永恒的 ,导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo... 1997   美国 墨西哥 澳大利亚 加拿大   剧情 爱情 灾难,"'腾讯视频': 'https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Ft5jqhgw8pix81mw.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video', '爱奇艺视频': 'https://www.douban.com/link2/?url=http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrny4w8w.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video', '西瓜视频': 'https://www.douban.com/link2/?url=https%3A%2F%2Fwww.ixigua.com%2Fcinema%2Falbum%2F87JVLZvgGub%3Futm_source%3Ddouban&subtype=17&type=online-video&link2key=297eaffe5e'",　　1912年4月10日，号称“世界工业史上的奇迹”的豪华客轮泰坦尼克号开始了自己的处女航，从英国的南安普顿出发驶往美国纽约。富家少女罗丝（凯特•温丝莱特）与母亲及未婚夫卡尔坐上了头等舱；另一边，放荡不羁的少年画家杰克（莱昂纳多·迪卡普里奥）也在码头的一场赌博中赢得了下等舱的船票。,"第70届奥斯卡金像奖/最佳影片/乔恩·兰道
第55届金球奖/电影类 最佳剧情片
第21届日本电影学院奖/最佳外语片(提名)
",罗马假日；这个杀手不太冷；恋恋笔记本；大话西游之大圣娶亲；怦然心动；剪刀手爱德华；爱在黎明破晓前；重庆森林；天使爱美丽；傲慢与偏见
https://movie.douban.com/subject/1292063/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,美丽人生,  La vita è bella,9.5,1088490,最美的谎言,导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni... 1997   意大利   剧情 喜剧 爱情 战争,'爱奇艺视频': 'https://www.douban.com/link2/?url=http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrjqfdbc.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video',　　犹太青年圭多（罗伯托·贝尼尼）邂逅美丽的女教师多拉（尼可莱塔·布拉斯基），他彬彬有礼的向多拉鞠躬：“早安！公主！”。历经诸多令人啼笑皆非的周折后，天遂人愿，两人幸福美满的生活在一起。,"第71届奥斯卡金像奖/最佳影片(提名)/吉安路易吉·布拉斯基
第51届戛纳电影节/主竞赛单元 金棕榈奖(提名)/罗伯托·贝尼尼
第23届日本电影学院奖/最佳外语片(提名)
",辛德勒的名单；忠犬八公的故事；穿条纹睡衣的男孩；拯救大兵瑞恩；这个杀手不太冷；触不可及；钢琴家；泰坦尼克号；小鞋子；当幸福来敲门
https://movie.douban.com/subject/1291561/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,千与千寻,  千と千尋の神隠し,9.4,1846066,最好的宫崎骏，最好的久石让 ,导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi   入野自由 Miy... 2001   日本   剧情 动画 奇幻,'爱奇艺视频': 'https://www.douban.com/link2/?url=http%3A%2F%2Fwww.iqiyi.com%2Fv_19rsmpr66o.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video',　　千寻和爸爸妈妈一同驱车前往新家，在郊外的小路上不慎进入了神秘的隧道——他们去到了另外一个诡异世界—一个中世纪的小镇。远处飘来食物的香味，爸爸妈妈大快朵颐，孰料之后变成了猪！这时小镇上渐渐来了许多样子古怪、半透明的人。,"第75届奥斯卡金像奖/最佳动画长片/宫崎骏
第52届柏林国际电影节/金熊奖 最佳影片/宫崎骏
第21届香港电影金像奖/最佳亚洲电影
",天空之城；哈尔的移动城堡；龙猫；幽灵公主；魔女宅急便；风之谷；大闹天宫；借东西的小人阿莉埃蒂；机器人总动员；飞屋环游记
https://movie.douban.com/subject/1295124/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,辛德勒的名单,  Schindler's List,9.5,903115,拯救一个人，就是拯救整个世界,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson... 1993   美国   剧情 历史 战争,"'腾讯视频': 'https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fdr37tbvercpqsko.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video', '优酷视频': 'https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMzU2MjYwNzQ0.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&subtype=3&type=online-video', '爱奇艺视频': 'https://www.douban.com/link2/?url=http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrhx0z4o.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video', '西瓜视频': 'https://www.douban.com/link2/?url=https%3A%2F%2Fwww.ixigua.com%2Fcinema%2Falbum%2F80e4Y4QTHKS%3Futm_source%3Ddouban&subtype=17&type=online-video&link2key=4a2b0a9522', '乐视视频': 'https://www.douban.com/link2/?url=http%3A%2F%2Fm.le.com%2Fvplay_2061364.html%3Fch%3Ddouban%26site%3Ddouban%26sitefrom%3Ddouban&subtype=6&type=online-video'",　　1939年，波兰在纳粹德国的统治下，党卫军对犹太人进行了隔离统治。德国商人奥斯卡·辛德勒（连姆·尼森LiamNeeson饰）来到德军统治下的克拉科夫，开设了一间搪瓷厂，生产军需用品。凭着出众的社交能力和大量的金钱，辛德勒和德军建立了良好的关系，他的工厂雇用犹太人工作，大发战争财。,"第66届奥斯卡金像奖/最佳影片/史蒂文·斯皮尔伯格
第51届金球奖/电影类 最佳剧情片
第47届英国电影学院奖/电影奖 最佳影片/布兰科·拉斯蒂格
",拯救大兵瑞恩；穿条纹睡衣的男孩；钢琴家；美丽人生；活着；鬼子来了；血战钢锯岭；1917；窃听风暴；敦刻尔克
https://movie.douban.com/subject/3541415/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2616355133.jpg,盗梦空间,  Inception,9.3,1708346,诺兰给了我们一场无法盗取的梦,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le... 2010   美国 英国   剧情 科幻 悬疑 冒险,"'腾讯视频': 'https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fh0meep6p766jgqh.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video', '爱奇艺视频': 'https://www.douban.com/link2/?url=http%3A%2F%2Fwww.iqiyi.com%2Fv_19rra64i9c.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video', '优酷视频': 'https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMjI4OTQ0MDky.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&subtype=3&type=online-video', '哔哩哔哩': 'https://www.douban.com/link2/?url=https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss28586%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=4099e2a5a6'",　　道姆·柯布（莱昂纳多·迪卡普里奥LeonardoDiCaprio饰）与同事阿瑟（约瑟夫·戈登-莱维特JosephGordon-Levitt饰）和纳什（卢卡斯·哈斯LukasHaas饰）在一次针对日本能源大亨齐藤（渡边谦饰）的盗梦行动中失败，反被齐藤利用。齐藤威逼利诱因遭通缉而流亡海外的柯布帮他拆分他竞争对手的公司，采取极端措施在其唯一继承人罗伯特·费希尔（希里安·墨菲CillianMurphy饰）的深层潜意识中种下放弃家族公司、自立门户的想法。为了重返美国，柯布偷偷求助于岳父迈尔斯（迈克尔·凯恩MichaelCaine饰），吸收了年轻的梦境设计师艾里阿德妮（艾伦·佩吉EllenPage饰）、梦境演员艾姆斯（汤姆·哈迪TomHardy饰）和药剂师约瑟夫（迪利普·劳DileepRao饰）加入行动。在一层层递进的梦境中，柯布不仅要对付费希尔潜意识的本能反抗，还必须直面已逝妻子梅尔（玛丽昂·歌迪亚MarionCotillard饰）的处处破坏，实际情况远比预想危险得多……,"第83届奥斯卡金像奖/最佳影片(提名)/克里斯托弗·诺兰
第68届金球奖/电影类 最佳剧情片(提名)
第34届日本电影学院奖/最佳外语片(提名)
",致命魔术；黑客帝国；蝴蝶效应；源代码；阿凡达；星际穿越；禁闭岛；记忆碎片；头号玩家；看不见的客人
https://movie.douban.com/subject/3011091/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p524964039.jpg,忠犬八公的故事,  Hachi: A Dog's Tale,9.4,1173382,永远都不能忘记你所爱的人,导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger... 2009   美国 英国   剧情,"'爱奇艺视频': 'https://www.douban.com/link2/?url=http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrmy5sf4.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video', '腾讯视频': 'https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fvb1t9npga3tha8d.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video', '乐视视频': 'https://www.douban.com/link2/?url=http%3A%2F%2Fm.le.com%2Fvplay_67130714.html%3Fch%3Ddouban%26site%3Ddouban%26sitefrom%3Ddouban&subtype=6&type=online-video'",　　八公（Forest饰）是一条谜一样的犬，因为没有人知道它从哪里来。教授帕克（理查·基尔RichardGere饰）在小镇的火车站拣到一只走失的小狗，冥冥中似乎注定小狗和帕克教授有着某种缘分，帕克一抱起这只小狗就再也放不下来，最终，帕克对小狗八公的疼爱感化了起初极力反对养狗的妻子卡特（琼·艾伦JoanAllen饰）。八公在帕克的呵护下慢慢长大，帕克上班时八公会一直把他送到车站，下班时八公也会早早便爬在车站等候，八公的忠诚让小镇的人家对它更加疼爱。有一天，八公在帕克要上班时表现异常，居然玩起了以往从来不会的捡球游戏，八公的表现让帕克非常满意，可是就是在那天，帕克因病去世。帕克的妻子、女儿安迪（萨拉·罗默尔SarahRoemer饰）及女婿迈克尔（罗比·萨布莱特RobbieSublett饰）怀着无比沉痛的心情埋葬了帕克，可是不明就里的八公却依然每天傍晚五点准时守候在小站的门前，等待着主人归来……,,触不可及；这个杀手不太冷；7号房的礼物；龙猫；绿皮书；当幸福来敲门；素媛；美丽人生；泰坦尼克号；放牛班的春天
